run_id,query_id,retriever,k,filters_json,retrieved_ids_json,latency_ms,hit_at_k,rank_positions_json
20251005-sg-baseline,q001,lexical_overlap_top5,5,{},"[""kb_q001_chunk_0000"", ""kb_q035_chunk_0000"", ""kb_q030_chunk_0000"", ""kb_q007_chunk_0000"", ""kb_q011_chunk_0000""]",0.05,1,[1]
20251005-sg-baseline,q002,lexical_overlap_top5,5,{},"[""kb_q002_chunk_0000"", ""kb_q021_chunk_0000"", ""kb_q014_chunk_0000"", ""kb_q006_chunk_0000"", ""kb_q031_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q003,lexical_overlap_top5,5,{},"[""kb_q003_chunk_0000"", ""kb_q029_chunk_0000"", ""kb_q018_chunk_0000"", ""kb_q011_chunk_0000"", ""kb_q017_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q004,lexical_overlap_top5,5,{},"[""kb_q004_chunk_0000"", ""kb_q021_chunk_0000"", ""kb_q027_chunk_0000"", ""kb_q033_chunk_0000"", ""kb_q024_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q005,lexical_overlap_top5,5,{},"[""kb_q005_chunk_0000"", ""kb_q030_chunk_0000"", ""kb_q032_chunk_0000"", ""kb_q025_chunk_0000"", ""kb_q046_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q006,lexical_overlap_top5,5,{},"[""kb_q006_chunk_0000"", ""kb_q021_chunk_0000"", ""kb_q002_chunk_0000"", ""kb_q031_chunk_0000"", ""kb_q029_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q007,lexical_overlap_top5,5,{},"[""kb_q007_chunk_0000"", ""kb_q022_chunk_0000"", ""kb_q032_chunk_0000"", ""kb_q011_chunk_0000"", ""kb_q035_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q008,lexical_overlap_top5,5,{},"[""kb_q008_chunk_0000"", ""kb_q035_chunk_0000"", ""kb_q050_chunk_0000"", ""kb_q043_chunk_0000"", ""kb_q038_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q009,lexical_overlap_top5,5,{},"[""kb_q009_chunk_0000"", ""kb_q023_chunk_0000"", ""kb_q005_chunk_0000"", ""kb_q020_chunk_0000"", ""kb_q039_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q010,lexical_overlap_top5,5,{},"[""kb_q010_chunk_0000"", ""kb_q034_chunk_0000"", ""kb_q015_chunk_0000"", ""kb_q031_chunk_0000"", ""kb_q036_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q011,lexical_overlap_top5,5,{},"[""kb_q011_chunk_0000"", ""kb_q035_chunk_0000"", ""kb_q050_chunk_0000"", ""kb_q043_chunk_0000"", ""kb_q038_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q012,lexical_overlap_top5,5,{},"[""kb_q012_chunk_0000"", ""kb_q024_chunk_0000"", ""kb_q049_chunk_0000"", ""kb_q042_chunk_0000"", ""kb_q044_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q013,lexical_overlap_top5,5,{},"[""kb_q013_chunk_0000"", ""kb_q047_chunk_0000"", ""kb_q024_chunk_0000"", ""kb_q012_chunk_0000"", ""kb_q039_chunk_0000""]",0.03,1,[1]
